name,playerid,nationality,dob,batstyle,bowlstyle,cricinfo_id
Ruhit Paul,11522211,Bangladesh,1991-08-07,Right-hand bat,Right-arm fast,6793757
Saad Nasim,7505264,Pakistan,1990-04-29,Right-hand bat,Legbreak,317248
Akhil Herwadkar,4502804,India,1994-10-31,Left-hand bat,Right-arm offbreak,532851
Samadur Rahman,11518259,Bangladesh,1996-02-04,Right-hand bat,Slow left-arm orthodox,3345940
Sumaraj Karunanithi,11520442,Kuwait,1995-06-05,Right-hand bat,Right-arm fast-medium,9126164
Sohail Khan,11520756,Nepal,2006-05-25,Right-hand bat,Right-arm medium,8608174
Yuvresh Malhorta,11521509,England,2003-04-19,Right-hand bat,Right-arm slow,3730219
Saiful Islam,11522212,Finland,1988-05-01,Left-hand bat,Left-arm fast,693500
Abdullah Asif,10600871,United Arab Emirates,1997-08-29,Right-hand bat,,913829
Asadullah,7502989,Pakistan,1997-07-19,Right-hand bat,Right-arm medium,1123967
Shahrukh Ali,7501217,Pakistan,1996-08-11,Right-hand bat,Right-arm medium,1160767
Rino Morita,11520991,Japan,2002-11-04,Right-hand bat,Right-arm medium,803647
Shree Das,11518260,Bangladesh,1985-07-02,Right-hand bat,Right-arm medium,1796949
Sunil Roul,4507727,India,1998-10-14,Right-hand bat,Right-arm medium-fast,1246465
Sudhir Kamat,11520757,Nepal,1999-09-21,Right-hand bat,,8421895
Siddid Tiwari,11521206,India,2004-02-21,Right-hand bat,Legbreak,861336
William Bushnell,11521510,England,2008-11-07,Right-hand bat,Right-arm medium,8639457
Sarwar Jahan,11522213,Finland,1988-01-01,Left-hand bat,Right-arm medium,3481123
Robiul Islam,800756,Bangladesh,1986-10-20,Right-hand bat,Right-arm fast-medium,227455
Shiburaj Ramachandran,11520443,Kuwait,1988-01-19,Right-hand bat,Right-arm medium,7577683
Raza Mirza,11521207,India,2007-10-07,Left-hand bat,Right-arm offbreak,3618847
Aromal Sivakumar,11520444,Kuwait,1991-11-21,Right-hand bat,Legbreak,9343837
Tasnim Rahman,11518261,Bangladesh,1996-09-01,Right-hand bat,Right-arm medium,7483149
Iftakhar Hossain,11518929,Bangladesh,2002-11-27,Left-hand bat,,8364575
Akhil Chugh,11519542,Kuwait,1974-03-02,Right-hand bat,Right-arm offbreak,895299
Avai Kumri,11520758,Nepal,2005-12-04,Left-hand bat,Slow left-arm orthodox,6979681
Shujaat Rasool,11531160,Bahrain,1999-04-01,Left-hand bat,Right-arm medium,2338085
Jack Filtness,11521511,England,1993-08-23,Right-hand bat,Right-arm medium,2719738
Shahed Alam,11522214,Finland,1991-10-10,Right-hand bat,Right-arm fast,7796037
Nitish Kumar,1800363,Canada,1994-05-21,Right-hand bat,Right-arm offbreak,348129
Helton Anto,11520445,Kuwait,1997-02-06,Right-hand bat,,8155144
Akalanka Ganegama,9504342,Sri Lanka,1981-03-29,Right-hand bat,Right-arm fast-medium,49008
Amir Khan Malik,11520993,Malaysia,1997-11-25,Right-hand bat,Right-arm medium-fast,7395142
Naveej Puthenpurayil,11521512,Kuwait,1985-10-01,Right-hand bat,,5243452
Ahmad Shafaat,11518262,Pakistan,1997-04-02,Right-hand bat,Right-arm fast,5996344
Mehedi Hasan,11518930,Bangladesh,2001-06-05,Right-hand bat,Right-arm medium,1681237
Narinder Kumar,11519543,Kuwait,1987-07-17,Right-hand bat,Right-arm medium-fast,806405
Sajan Das,11520759,Nepal,2003-02-16,Right-hand bat,Right-arm medium,1401292
Shahrukh Ali,11522215,Finland,1981-11-28,Right-hand bat,Right-arm fast,5509386
Yousuf Zazai,101440,Afghanistan,1998-12-25,Right-hand bat,Right-arm medium-fast,776747
Ajay Kumar,11518263,India,1997-11-27,Right-hand bat,Right-arm medium,8227302
Shahadot Sobug,11518931,Bangladesh,1995-12-03,Right-hand bat,Right-arm offbreak,9947403
Navaneenth Krishna,11520446,Kuwait,1989-05-24,Left-hand bat,,8070864
Kurstan Jules,11520760,West Indies,1991-01-03,Right-hand bat,Right-arm fast,9494781
Tonmoy Kumar Saha,11522216,Finland,1995-08-25,Right-hand bat,Right-arm medium,5066840
Botheju Welathantrige,11519544,Kuwait,1982-06-10,Left-hand bat,Right-arm medium-fast,462572
Abhimanyu Lamba,4500032,India,1995-10-31,Right-hand bat,Right-arm medium,642533
Akash Sood,11518264,India,1997-08-19,Left-hand bat,Right-arm medium,4105500
Alif Hasan,11518932,Bangladesh,2004-08-28,Right-hand bat,,6547916
Nigel Joseph,11520447,Kuwait,1991-07-20,Right-hand bat,Right-arm medium,2851593
Ali Malik,11522217,Pakistan,1995-02-10,Right-hand bat,,3646495
Denzie Jn Paul,11520761,West Indies,2007-11-18,Right-hand bat,Right-arm medium,4077426
Ayub Rizwan,11519545,Kuwait,1999-04-17,Right-hand bat,Right-arm fast-medium,127338
Jasdeep Singh,11500092,India,1993-02-10,Right-hand bat,Right-arm medium,375099
Daljit Rai,11518265,India,1996-12-18,Right-hand bat,Left-arm fast,4795398
Habibur Sheikh Munna,11518933,Bangladesh,2003-01-11,Right-hand bat,,5170108
Ajith Kumara,11519546,Kuwait,1982-02-15,Right-hand bat,,424323
Monil Soni,11521211,India,1998-02-12,Left-hand bat,Left-arm fast,6212160
Bilawal Hussain,11522218,Pakistan,1999-03-23,Right-hand bat,Right-arm fast,9261693
Dinesh H,11521515,India,2000-03-02,Right-hand bat,Right-arm fast,7057312
Meeka-eel Prince,9207356,South Africa,2004-04-05,Right-hand bat,,1337357
Deepak Kumar,11518266,India,1992-06-28,Right-hand bat,Right-arm fast,3411712
Jintimani Kalita,11515462,India,2003-12-25,Left-hand bat,Right-arm medium-fast,3154371
Altab Hussain,11519547,Kuwait,1988-07-08,Right-hand bat,,773327
Aluncedo Dunga,11530674,South Africa,2002-04-18,,,6614744
Hunny Saini,11521516,India,2004-11-05,Right-hand bat,Right-arm offbreak,8611017
Malik Zeeshan,11522219,Pakistan,1989-06-21,Right-hand bat,,5821917
George Van Heerden,9200546,South Africa,2003-09-11,Right-hand bat,Right-arm medium,946177
Sandeep Kunchikor,4510039,India,1984-03-12,Right-hand bat,Right-arm offbreak,1214980
Hamza Farooq,11518267,Pakistan,2002-01-02,Right-hand bat,Right-arm medium,5736538
Joseph Sandaru,11520764,Sri Lanka,2001-04-24,Right-hand bat,Right-arm offbreak,3607088
Vimal Khumar R,11521517,India,2002-12-03,Left-hand bat,Legbreak,4574207
Malik Zeeshan,11522220,Pakistan,1991-07-08,Right-hand bat,Right-arm fast,7529554
Jagdeep Bumrah,11518268,India,1992-06-25,Right-hand bat,Right-arm fast,3617846
Muhammad Farooq,11522221,Pakistan,1991-07-08,Right-hand bat,Right-arm fast,7403024
Andile Mogakane,11520448,South Africa,1999-12-25,Right-hand bat,Right-arm medium,5435314
Duvindu Tillakaratne,9503241,Sri Lanka,1996-09-09,Right-hand bat,Slow left-arm orthodox,681969
Harsh Tanna,11521213,India,1998-11-09,Right-hand bat,Left-arm fast-medium,5668874
Ambrish R S,11521518,India,2007-05-28,Left-hand bat,Right-arm medium-fast,5893490
Karanbir Dhillon,11518269,India,1984-04-10,Right-hand bat,Right-arm slow,2523433
Rayhan Ali Ikram,11518937,Bangladesh,2004-10-15,Right-hand bat,Right-arm medium,7668114
Gaffar Shaikh,11519550,Kuwait,1976-09-22,Right-hand bat,Legbreak,811507
Lasith Abeyratne,9502074,Sri Lanka,1993-05-23,Right-hand bat,,429763
Aryan Chauhan,11521214,India,2008-05-02,Right-hand bat,Slow left-arm orthodox,2737416
Guru Raghavendran,11204670,India,1998-03-20,Right-hand bat,Right-arm offbreak,9128525
Sajed Anwar,11522222,Pakistan,1991-10-15,Right-hand bat,Right-arm medium,4589095
Mahfijul Islam,801068,Bangladesh,2004-03-10,Right-hand bat,Legbreak,989883
Agni Chopra,11507655,India,1998-11-04,Left-hand bat,Right-arm medium-fast,5631421
Parvinder Singh,11518270,India,1987-03-25,Right-hand bat,Right-arm slow,8180168
Abdul Jabbar,11518938,Kuwait,1985-06-26,Right-hand bat,Right-arm medium-fast,6663143
Hasan Arif,11519551,Kuwait,1983-11-21,Left-hand bat,,671122
Harsh Salunkhe,11521215,India,2004-06-22,Right-hand bat,Right-arm offbreak,3765546
Jhathavedh Subramanyan,11521519,India,1999-09-16,Right-hand bat,Legbreak,8705138
Saroj Aryal,11522223,Nepal,2000-10-29,Right-hand bat,,7860634
Maduranga Zoysa,9503560,Sri Lanka,1984-09-27,Right-hand bat,Legbreak,225388
Jishan Alam,801936,Bangladesh,2004-11-10,Right-hand bat,Right-arm medium,99493011
Jawad Ali,11521001,Malaysia,2003-04-25,Right-hand bat,Right-arm fast-medium,7624117
Nutan Goel,11521216,India,2005-08-14,Left-hand bat,Left-arm slow,1599713
Ajithkumar Nair,11518939,Kuwait,1984-11-24,Right-hand bat,Right-arm medium,4798230
Azmat Ali,11519552,Kuwait,1982-03-01,Right-hand bat,Right-arm medium-fast,538040
Rahul Gunasekara,11520765,Sri Lanka,2001-05-24,Right-hand bat,Right-arm offbreak,2766390
Pradheep Vishal,11521520,India,2003-11-06,Right-hand bat,Right-arm offbreak,4629783
Beenu Khoda,11522224,India,1980-10-28,Right-hand bat,Right-arm medium,2844608
Ariful Islam,800917,Bangladesh,2004-12-08,Left-hand bat,Slow left-arm orthodox,933195
Rab Nawaz,11518272,India,1998-03-25,Right-hand bat,Right-arm medium,9441675
Badshah Husntara,11518940,Kuwait,1992-05-10,Right-hand bat,Right-arm medium-fast,1861476
Deepak Sharma,11519553,Kuwait,1967-04-08,Right-hand bat,Legbreak,528005
Miyuru Heshan,11520766,Sri Lanka,2002-12-24,Right-hand bat,Right-arm medium,4224474
K Vishal Vaidhya,4501094,India,1997-02-24,Left-hand bat,Right-arm offbreak,1048865
Bhupesh Khoda,11522225,Finland,1977-10-20,Right-hand bat,Right-arm medium,6208261
Melan Hasanka,11521003,Sri Lanka,2005-05-18,Right-hand bat,Legbreak,9190506
Rakibul Hasan,801606,Bangladesh,2002-09-09,Left-hand bat,Slow left-arm orthodox,1012131
Sanamdeep Singh,11518273,India,1994-12-17,Left-hand bat,Right-arm slow,3348176
Donald Aranha,11518941,Kuwait,2002-04-30,Right-hand bat,,3996960
Rajan Choudhary,11520767,United Arab Emirates,1993-06-07,Right-hand bat,Right-arm offbreak,8533802
Amartya Raje,11521218,India,1995-09-16,Right-hand bat,,1922039
Amith Sathvik,11521521,India,2002-09-19,Right-hand bat,,190466
Christian Hickey,11522226,England,1975-07-10,Right-hand bat,Right-arm slow,4518844
Shekar Sirohi,11521004,India,2000-09-19,Right-hand bat,Right-arm medium,5159332
Asaduzzaman Payel,801350,Bangladesh,1998-09-01,Right-hand bat,Right-arm medium,1176039
Gurpreet Singh,11518274,Ireland,1987-06-06,Right-hand bat,Right-arm offbreak,5563833
Fahad Husain,11518942,Kuwait,1983-08-05,Right-hand bat,Right-arm offbreak,9333238
Kashif Shareef,11519555,Kuwait,1987-10-22,Right-hand bat,Right-arm offbreak,381558
Wasi Siddiquee,801933,Bangladesh,2006-11-06,Right-hand bat,Right-arm medium,9949308
Ali Murtaza,4505507,India,1990-01-01,Left-hand bat,Slow left-arm orthodox,26490
Dhruvansingh Parmar,11522227,India,1985-06-21,Right-hand bat,Right-arm medium,4467409
Esakkimuthu A,11521522,India,2002-02-01,Right-hand bat,Right-arm fast-medium,565461
Dilbag Singh,11518275,Portugal,1992-09-06,Left-hand bat,Right-arm medium,3462179
Khursid Khan,11518943,Kuwait,1983-06-14,Left-hand bat,Slow left-arm orthodox,2843462
Anish Chaudhery,11521220,India,1997-08-24,Right-hand bat,Right-arm offbreak,1505269
Kanibalan K,11521523,India,1997-08-24,Right-hand bat,Right-arm offbreak,4543997
Heikki Mahlamaki,11522228,Finland,1956-06-24,Right-hand bat,Right-arm slow,7138991
Dilpreet Singh,11518276,India,1998-12-02,Right-hand bat,Right-arm medium,5813482
Mohamed Raza,11518944,Kuwait,1984-02-01,Right-hand bat,Right-arm offbreak,7046775
Shahid Amin,11519557,Kuwait,1981-07-11,Right-hand bat,Right-arm fast,684526
Prarthana Prarthana,11520770,India,1991-11-14,Right-hand bat,Right-arm medium,3856994
Maruf Mridha,801937,Bangladesh,2006-05-15,Right-hand bat,Right-arm medium,99493012
Atharva Poojari,11521221,India,1999-09-16,Right-hand bat,Right-arm fast,881194
Mathivannan M,11521524,India,2000-05-18,Left-hand bat,Slow left-arm orthodox,9445978
Jayesh Manthiram,11522229,Finland,2011-02-02,Right-hand bat,Right-arm medium,453474
Nita Dalgaard,11520771,Denmark,1981-06-17,Left-hand bat,Slow left-arm orthodox,8839394
Rajeev Somakurup,11518945,Kuwait,1985-10-02,Right-hand bat,Right-arm fast-medium,4470674
Mahmoud Ahmad,11519558,Kuwait,1980-10-28,Right-hand bat,,257267
Atif Attarwala,4503013,India,1992-10-15,Right-hand bat,Left-arm medium-fast,1206038
Mohan Prasath,4510259,India,1998-06-30,Left-hand bat,Slow left-arm orthodox,1048871
Kripesh Sangroula,11522230,Finland,2007-10-30,Right-hand bat,Right-arm medium,2927845
Manoj Kumar,11518277,India,2006-10-26,Right-hand bat,Right-arm medium,1442255
Pardeep Nangloo,11518278,India,1985-01-12,Right-hand bat,Right-arm offbreak,7410547
Abel Anthony Dsouza,11518946,Kuwait,1996-04-21,Right-hand bat,Right-arm offbreak,3346463
Rahatullah Rahatullah,9900366,Sweden,1984-01-01,Right-hand bat,Right-arm medium,86854
Anchana Subramanian,11520772,India,2008-08-20,Right-hand bat,Right-arm medium,4362876
Dhanit Raut,11521222,India,2001-09-07,Right-hand bat,Right-arm fast,8867565
Manthiram Sankaravadivel,11522231,India,1978-03-10,Right-hand bat,Right-arm medium,3261434
Radhakrishnan,4509720,India,1999-07-14,Right-hand bat,Legbreak googly,1079844
Utkarsh Srivastava,11507924,United States Of America,2007-02-18,Right-hand bat,Right-arm offbreak,84528
Parminder Jeet,11518279,India,1985-02-27,Right-hand bat,Right-arm fast,3794116
Aarin Nadkarni,11507922,India,2006-08-11,Right-hand bat,Right-arm fast,110125
Dilip Poojary,11518947,Kuwait,1994-01-17,Right-hand bat,Right-arm slow,5965135
Devin Tyson,11500651,West Indies,2005-08-07,Right-hand bat,Right-arm medium,185117
Sophia Jasmine,11520773,India,1994-12-28,Right-hand bat,Right-arm offbreak,8907226
Muthukumar Marichamy,11522232,India,1991-04-12,Right-hand bat,Right-arm medium,3114097
Ragupathy Silambarasan,4507264,India,1993-03-07,Right-hand bat,Right-arm medium-fast,1048853
Parminder Mahal,11518280,India,1986-05-06,Right-hand bat,Right-arm medium,4607206
Kiran Lobo,11518948,Kuwait,1990-08-31,Right-hand bat,Right-arm medium-fast,8554964
Abhishek Patel,11520451,India,1991-06-24,Right-hand bat,Right-arm medium,6540832
Sabtain Raza,11519561,Kuwait,1985-10-10,Left-hand bat,Left-arm slow,6309089
Rishit Patwal,11521224,India,2001-01-17,Right-hand bat,Left-arm slow,5328191
V Anovankar,11521525,India,2001-10-21,Right-hand bat,Right-arm offbreak,554735
Nabin Sapkota,11522233,India,2001-11-27,Right-hand bat,Right-arm slow,1544029
Shamshad Ahmad,11519562,Kuwait,1975-04-18,Right-hand bat,,3256113
Pinku Chahal,11518281,India,1994-01-02,Right-hand bat,Right-arm medium,6250004
Mokhadder Shaik,11518949,Kuwait,1980-12-10,Right-hand bat,Right-arm medium-fast,3343332
Adil Abid,11520452,Pakistan,1991-09-08,Right-hand bat,Right-arm medium,4739395
Kirubakar Ravinder,11521526,India,2005-05-01,Right-hand bat,Legbreak,3428347
Rajesh Veera,11518282,India,1988-12-04,Right-hand bat,Right-arm fast,3048440
Rafique Shaikh,11518950,Kuwait,1981-03-18,Right-hand bat,Right-arm offbreak,4151875
Adithya Sivakumar,11520453,India,2000-05-28,Right-hand bat,Right-arm medium,7989556
Rahil Khan,11519563,Kuwait,1979-01-01,Right-hand bat,Right-arm fast,5262835
Dewa Chamto,11520776,Afghanistan,2008-08-21,Right-hand bat,Right-arm medium,9526417
Ryan Sharma,11522235,Finland,2011-09-02,Right-hand bat,Right-arm slow,6859001
J Prem Kumar,11521527,India,2000-06-20,Right-hand bat,Right-arm medium,7125613
Ali Sheikh,10700007,United States of America,2003-02-23,Left-hand bat,Slow left-arm orthodox,1193309
Saleem Saeed,11518951,Kuwait,1987-10-22,Right-hand bat,Right-arm fast,3545493
Riaz Masurkar,11519564,Kuwait,1961-01-01,Right-hand bat,Right-arm medium,5874895
Aditya Somvanshi,4512277,India,1991-06-12,Right-hand bat,Right-arm medium,93774
Vani Rana,11520777,India,1987-08-06,Left-hand bat,Right-arm medium,9232608
Sunil Thakur,11522236,India,1985-05-05,Right-hand bat,,2409300
Rajalingam G,11521528,India,1998-05-10,Right-hand bat,Right-arm medium,9371812
Rehman Dar,10700318,United States of America,2002-12-24,Left-hand bat,Right-arm medium,1193307
Aman Khan,4511575,India,1996-11-23,Right-hand bat,Right-arm offbreak,1254269
Shaik Sikandar,11518952,Kuwait,1980-03-16,Right-hand bat,Right-arm fast,9954013
Amit Karel,11520454,India,1989-08-09,Right-hand bat,Right-arm medium,7101855
Petra Wickberg,11520778,Sweden,1992-02-14,Right-hand bat,Right-arm slow,7626914
Rohith Suthar,11521529,India,2003-10-22,Left-hand bat,Left-arm fast,7174911
Sunil Kumar,11518284,India,2002-05-22,Right-hand bat,Slow left-arm orthodox,6412826
Tarun Sharma,11522237,Finland,1975-09-10,Right-hand bat,Right-arm medium,3093850
Antony Nishantha,11519565,Kuwait,1988-12-28,Right-hand bat,Right-arm medium,7466943
Umair Mir,7505508,Pakistan,1990-01-27,Left-hand bat,Right-arm medium-fast,323953
Awais Khan,11521229,India,2005-11-25,Right-hand bat,Legbreak,6698672
Matt Henry,7100248,New Zealand,1991-12-14,Right-hand bat,Right-arm fast-medium,506612
Varandeep,11518285,India,1996-06-20,Right-hand bat,Right-arm medium,3603575
Vivek Kotteswaran,11518953,Kuwait,1991-01-26,Right-hand bat,Right-arm fast,16730475
Nadeepa Kothwala,11519566,Kuwait,1997-09-14,Right-hand bat,Right-arm medium-fast,9255100
Anil Gadariya,4512278,India,1990-03-02,Left-hand bat,Left-arm medium,93764
Matilda Heircock,11520779,Sweden,2007-07-25,Right-hand bat,Left-arm slow,2918931
Tejas Prajapati,11522238,Finland,1992-12-20,Right-hand bat,Right-arm medium,6544665
Sachin B,11521530,India,2006-08-14,Right-hand bat,Right-arm medium,3741198
Chandan Negi,11518954,Kuwait,1990-06-20,Right-hand bat,Right-arm fast-medium,24443716
Irfan Umair,11521230,India,1996-07-27,Right-hand bat,Right-arm medium,320911
Arun Jangid,11520455,India,1994-09-17,Right-hand bat,Right-arm medium,6392890
Shivangini Shankar,11520780,Sweden,2009-06-24,Right-hand bat,Right-arm medium,9186682
Sheraz Haider,7502588,Pakistan,2000-08-06,Right-hand bat,Right-arm fast-medium,42653
Rifkaz Mohamed,11507770,Kuwait,1983-11-11,Right-hand bat,Right-arm slow,129374599
Mohamed Shafran,11507759,Kuwait,1991-07-02,Right-hand bat,Right-arm offbreak,129374581
Mohamed Simsan,11507767,Kuwait,1993-05-22,Right-hand bat,Legbreak,129374591
Madhushan Nayanajith,11507764,Kuwait,1995-11-01,Right-hand bat,Legbreak,129374588
Kardell Richards,11518287,West Indies,2008-06-01,Right-hand bat,Right-arm offbreak,6748153
Charan Bhaskara Shetty,11518955,Kuwait,1993-05-24,Right-hand bat,Right-arm medium-fast,73510533
Shahid Thahir,11519567,Kuwait,1988-02-06,Right-hand bat,Right-arm offbreak,9761619
Aswin Madhav,11520456,India,1999-08-02,Right-hand bat,Right-arm fast,8379815
Maria Ehsan,11520781,Sweden,1985-10-18,Right-hand bat,Right-arm offbreak,369687
Afif Khan,11521531,England,2004-12-07,Right-hand bat,Right-arm slow,9781346
Abdul Qureshi,11522240,Finland,1989-01-19,Right-hand bat,Right-arm medium,2957323
Declan Osborn,11530694,South Africa,2003-09-12,Right-hand bat,Right-arm offbreak,5387444
Rohan Ghag,11521232,India,2005-07-30,Right-hand bat,Right-arm fast,4229136
Mukesh Pawar,11518956,Kuwait,1975-09-05,Right-hand bat,,36343920
Ahilan Ratnam,11519568,Kuwait,1988-02-06,Right-hand bat,Right-arm medium,9708045
Nithin Ramakrishna,9900160,Sweden,1992-05-17,Right-hand bat,Right-arm medium,1268975
Gokul Seenivasan,9900167,Sweden,1986-05-03,Right-hand bat,Right-arm medium,1268982
Zara Mohammad,11520782,Sweden,2008-12-02,Right-hand bat,Right-arm medium,6171206
Dhanushka Bandara,11521532,Sri Lanka,1997-01-31,Right-hand bat,Right-arm medium,6546451
Abhiyan Basnet,11522241,Nepal,2001-01-07,Right-hand bat,Left-arm slow,3780235
Akel Quashie,11508829,West Indies,2005-04-13,Right-hand bat,,6321611
Daveon Shanghie,11508850,West Indies,2000-08-26,Right-hand bat,Slow left-arm orthodox,6321627
Affan Zafar,11522242,Finland,1984-12-01,Right-hand bat,Right-arm medium,1253287
Kardwell Richards,11518288,West Indies,2010-05-29,Left-hand bat,Right-arm offbreak,7924309
Saji Alexander,11518957,Kuwait,1978-08-15,Right-hand bat,Right-arm offbreak,49225114
Asanka Kanaththage,11519569,Kuwait,1981-11-09,Right-hand bat,Right-arm medium,9159252
Dharsh Murali,11520457,India,2001-05-18,Right-hand bat,Right-arm slow,8944204
Sasi Jampa,11520783,India,1990-09-26,Right-hand bat,Right-arm medium,2949459
Sachin Yadav,11521233,India,1994-04-07,Left-hand bat,Left-arm medium,2289589
Micah Stafford,11518289,West Indies,2007-08-23,Right-hand bat,,7072351
Vikrant Gurung,11518958,Kuwait,1977-01-01,Right-hand bat,,43971651
Dulaj Prashantha,11519570,Kuwait,1993-10-02,Right-hand bat,Right-arm medium,1430493
Dwipendra Nayak,11520458,India,1988-01-14,Right-hand bat,Right-arm offbreak,9549058
Malyun Yusuf,11520784,India,2003-04-20,Left-hand bat,Right-arm medium,2952900
Yash Gadia,11521234,India,1999-11-13,Right-hand bat,Slow left-arm orthodox,3185093
Ajitesh G,11521534,India,2002-09-26,Right-hand bat,,9383375
Asad Hasan,11522243,Pakistan,1997-01-21,Right-hand bat,Right-arm fast,1887487
Arun Yoghi,11521535,India,2003-10-27,Right-hand bat,,2968583
Dwight Moore,11508890,West Indies,2001-08-02,Right-hand bat,Legbreak,165850
Abhilash Narayanan Kutty,11518959,Kuwait,1989-02-10,Right-hand bat,Right-arm medium-fast,36578918
Gaurav Pathak,11520459,India,1992-09-02,Right-hand bat,Right-arm fast,3015944
Shabnam Parveen,11520785,India,1987-02-04,Right-hand bat,Right-arm offbreak,7556965
Asanga Maldeniya,11522244,Sri Lanka,1983-08-28,Right-hand bat,Right-arm slow,2953005
Abhigyan Kundu,11521235,India,2008-04-30,Left-hand bat,,9879970
Hashan Kankanamge,11519571,Kuwait,1994-05-16,Right-hand bat,Right-arm offbreak,2216988
Prithvi Raj Yarra,11531835,India,1998-02-20,Left-hand bat,Left-arm medium,7535895
Ayush Vartak,11521236,India,2004-10-29,Right-hand bat,Right-arm medium-fast,5710810
Zion James,11518290,West Indies,2009-09-15,Right-hand bat,,9223911
Athar Dadarkar,11518960,Kuwait,1985-01-21,Right-hand bat,Right-arm slow,72472443
Rupasinghe Siriwardhana,11519572,Kuwait,1998-04-25,Right-hand bat,Right-arm medium-fast,4893357
Gowtham Sowrirajan,11520460,India,1999-04-23,Right-hand bat,Right-arm medium,7035356
Sharon Folker,11520786,India,1973-06-09,Right-hand bat,Right-arm slow,2531469
Athish S R,11521536,India,2004-07-17,Left-hand bat,,4140687
Gaurav Nevatia,11522245,Nepal,2002-01-15,Right-hand bat,Right-arm medium,9357167
Mohamed Arman,11518961,Kuwait,1987-11-10,Right-hand bat,Right-arm fast,12512459
Viraj Weersekara,11519573,Kuwait,1977-04-20,Right-hand bat,Legbreak,3838639
Hemath Ambrose,11520461,India,1988-08-11,Right-hand bat,Right-arm offbreak,9681610
Sara Iqbal,11520787,India,1996-07-07,Right-hand bat,Right-arm offbreak,6235873
Dharsh Murkute,11521237,India,2007-06-04,Left-hand bat,Slow left-arm orthodox,5812948
Karan Sampat,11521537,India,2002-10-01,Right-hand bat,Right-arm medium-fast,4814584
Mansoor Afzali,11522246,Afghanistan,1992-01-10,Right-hand bat,Right-arm medium,6920115
Xavair Reid,11506452,West Indies,2005-05-15,Left-hand bat,Legbreak,8659630
Tejasvi Singh,11531837,India,2002-04-18,Right-hand bat,,6281227
Gaurav Jathar,4506089,India,1991-01-30,Right-hand bat,Slow left-arm orthodox,398515
Milind Sidh,11522247,Afghanistan,1989-06-19,Right-hand bat,Right-arm slow,2243864
Mohammad Shahryar,11518291,Pakistan,1995-12-15,Right-hand bat,Right-arm offbreak,5736926
Sajahan Shaikh,11518962,Kuwait,1989-07-01,Right-hand bat,Right-arm fast,16382275
Janardhan Kakarla,11520462,India,1992-06-06,Right-hand bat,Right-arm fast,5901060
Marie Williman,11520788,Sweden,1968-09-05,Right-hand bat,Right-arm slow,1808038
Rithik Easwaran,11521538,India,2002-02-15,Left-hand bat,,9080722
Iman Anju,11519574,Kuwait,1999-08-22,Right-hand bat,Legbreak,9725060
Harnoor Pannu,11531838,India,2003-01-30,Left-hand bat,Legbreak,1118185
Sunil Singh,11518963,Kuwait,1999-07-16,Right-hand bat,Right-arm medium-fast,31420603
Karthikeyan Sivanandham,11520463,India,1988-12-13,Right-hand bat,Right-arm medium,6085176
Nicole Reid,3003942,England,1997-10-06,,,879229
Eshaan Kunal,11521025,India,2009-04-23,Right-hand bat,Right-arm medium-fast,3544650
Khizar Dafedar,11521238,India,1997-10-10,Right-hand bat,Legbreak googly,1880973
S Risheek Kumar,11521539,India,1999-09-29,Right-hand bat,Right-arm offbreak,4190029
Salim Sulaimankhail,11522248,Afghanistan,1998-07-14,Right-hand bat,Right-arm medium,1444082
Madusha Malshan,11519575,Kuwait,1996-05-03,Right-hand bat,Right-arm fast,4907298
Mohammad Izhar,11531839,India,2004-01-01,Right-hand bat,Left-arm medium,8686977
Vijay Singh,11518964,Kuwait,1980-10-01,Right-hand bat,Right-arm fast,82679649
Mohamed Hameez,11519576,Kuwait,1998-05-25,Right-hand bat,Left-arm fast,8873179
Mahesh Mohan,11520464,India,1997-11-07,Right-hand bat,Right-arm fast,4567603
Abdul Basith N,11521026,India,2008-10-31,Right-hand bat,Right-arm medium-fast,6158987
Muzzamil Kadri,11521239,India,2003-10-24,Left-hand bat,Left-arm slow,6171508
Santhosh Kumar D,11521540,India,2003-03-06,Left-hand bat,Right-arm offbreak,9599735
Sheri Bhaskar,11522249,Finland,2002-07-18,Left-hand bat,Right-arm slow,9306185
Mia Rogers,11518293,England,2002-01-29,Right-hand bat,Right-arm medium,5138863
Ansari Farhan Abdul Kadar,11518965,Kuwait,1980-11-23,Right-hand bat,Right-arm medium-fast,75216962
Pratik Mishra,11521240,India,2001-01-25,Right-hand bat,Right-arm offbreak,3750471
Pavunuri Rakesh,11520465,India,1990-03-04,Right-hand bat,Right-arm medium,3531979
Priyasha Chaturvedi,11520790,Sweden,2009-01-01,Right-hand bat,Right-arm slow,3582407
Nandan R Nair,11521027,India,2009-07-19,Left-hand bat,Right-arm offbreak,3860123
Yash Raj Punja,11531841,India,2006-06-26,Right-hand bat,Legbreak googly,7681542
Mohamed Rifkhan,11519577,Kuwait,1990-03-23,Left-hand bat,Right-arm offbreak,2643630
Asif Mansoori,11521028,India,1996-04-25,Right-hand bat,Left-arm slow,6079077
Yvan Mitari,8300020,Rwanda,1995-12-12,Right-hand bat,Right-arm medium,1151264
Julius Cyril,11518966,Kuwait,1977-10-02,Right-hand bat,Right-arm offbreak,96790109
Navindu Hettiarachchige,11519578,Kuwait,1999-12-26,Right-hand bat,Right-arm offbreak,7197574
